t,x,y,theta,v,w,goal
0.0,0.006265257226562477,0.0,0.09763778053834749,0.12530514453124952,1.9527556107669495,"(0.15663143066406188, 0.15529142706151242)"
0.05,0.012825392926273568,0.0006425602601150836,0.18562185790259525,0.13183059445591996,1.7596815472849543,"(0.15663143066406188, 0.15529142706151242)"
0.1,0.01950375804232119,0.0018966473835028944,0.26513313398396543,0.13590186920905672,1.5902255216274044,"(0.15663143066406188, 0.15529142706151242)"
0.15000000000000002,0.026163865019828463,0.003705036251935937,0.33715803678189843,0.13802506330563818,1.4404980559586598,"(0.15663143066406188, 0.15529142706151242)"
0.2,0.03270436911368124,0.005997760929968285,0.40253001132916777,0.13861425648318207,1.3074394909453868,"(0.15663143066406188, 0.15529142706151242)"
0.25,0.03905314108090275,0.008700932676606467,0.4619607188709541,0.13800585927213466,1.1886141508357264,"(0.15663143066406188, 0.15529142706151242)"
0.30000000000000004,0.04516148504222478,0.01174223536817629,0.5160636647279188,0.13647181102567538,1.0820589171392938,"(0.15663143066406188, 0.15529142706151242)"
0.35000000000000003,0.05099898228881438,0.015054120660627104,0.5653722602765827,0.13423108178703344,0.98617191097328,"(0.15663143066406188, 0.15529142706151242)"
0.4,0.05654912768022256,0.018575459307572074,0.6103537761445696,0.1314594077762984,0.8996303173597393,"(0.15663143066406188, 0.15529142706151242)"
0.45,0.061805762450298986,0.022252189283850102,0.6514202414546632,0.12829739268502355,0.8213293062018684,"(0.15663143066406188, 0.15529142706151242)"
0.5,0.06677023049541599,0.026037337206961067,0.6889370543388906,0.1248571788417776,0.7503362576845507,"(0.15663143066406188, 0.15529142706151242)"
0.55,0.07144915591379017,0.029890669362116658,0.7232298617278534,0.12122790399683397,0.6858561477792559,"(0.15663143066406188, 0.15529142706151242)"
0.6000000000000001,0.07585273520791845,0.03377814291186698,0.7545901180943119,0.11748014504533733,0.6272051273291692,"(0.15663143066406188, 0.15529142706151242)"
0.65,0.0799934453280713,0.03767126793926615,0.7832796262256978,0.11366952586880612,0.5737901626277194,"(0.15663143066406188, 0.15529142706151242)"
0.7000000000000001,0.08388508149855284,0.04154644979244159,0.8095342860210258,0.10983964034642581,0.5250931959065608,"(0.15663143066406188, 0.15529142706151242)"
0.75,0.08754205272621735,0.04538435337308544,0.8335672211869558,0.10602441691286943,0.4806587033185991,"(0.15663143066406188, 0.15529142706151242)"
0.8,0.09097887614259086,0.049169312549095345,0.8555714125453787,0.10225002916262645,0.44008382716845873,"(0.15663143066406188, 0.15529142706151242)"
0.8500000000000001,0.09420982304415974,0.052888795884253374,0.8757219362497883,0.09853643825768384,0.4030104740881932,"(0.15663143066406188, 0.15529142706151242)"
0.9,0.09724867941527375,0.056532932310418844,0.8941778825701624,0.09489863715937384,0.3691189264074823,"(0.15663143066406188, 0.15529142706151242)"
0.9500000000000001,0.1001085918858628,0.06009409577672083,0.91108401393846,0.0913476536604081,0.3381226273659513,"(0.15663143066406188, 0.15529142706151242)"
1.0,0.10280197666923382,0.06356654529286007,0.926572208142554,0.08789135846812314,0.3097638840818822,"(0.15663143066406188, 0.15529142706151242)"
1.05,0.10534047426967719,0.06694611545038039,0.9407627228304547,0.08453511582072513,0.28381029375801226,"(0.15663143066406188, 0.15529142706151242)"
1.1,0.10773493687434922,0.07022995198754889,0.9537653100517932,0.08128230697517294,0.2600517444267697,"(0.15663143066406188, 0.15529142706151242)"
1.1500000000000001,0.10999543855861053,0.07341628694481234,0.9656802038444194,0.0781347511019962,0.23829787585252366,"(0.15663143066406188, 0.15529142706151242)"
1.2000000000000002,0.11213130092048666,0.07650424822936638,0.9765989994472531,0.07509304341624123,0.21837591205667417,"(0.15663143066406188, 0.15529142706151242)"
1.25,0.11415112867042634,0.079493698832654,0.9866054392727123,0.07215682656248991,0.2001287965091833,"(0.15663143066406188, 0.15529142706151242)"
1.3,0.11606285116160502,0.08238510143649538,0.9957761180695275,0.06932500818832729,0.18341357593630345,"(0.15663143066406188, 0.15529142706151242)"
1.35,0.11787376695384932,0.08517940464818385,1.0041811175745625,0.06659593514758191,0.1680999901007002,"(0.15663143066406188, 0.15529142706151242)"
1.4000000000000001,0.11959058934045388,0.0878779475904755,1.0118845792586373,0.06396753276010765,0.1540692336814975,"(0.15663143066406188, 0.15529142706151242)"
1.4500000000000002,0.1212194913943865,0.09048238002161206,1.0189452224166176,0.06143741592763084,0.14121286315960713,"(0.15663143066406188, 0.15529142706151242)"
1.5,0.1227661495575915,0.09299459556526224,1.0254168137604593,0.05900297759119038,0.12943182687683574,"(0.15663143066406188, 0.15529142706151242)"
1.55,0.12423578514232642,0.09541667598823066,1.031348593787697,0.05666145895490504,0.11863560054475253,"(0.15663143066406188, 0.15529142706151242)"
1.6,0.12563320336609254,0.09775084477610023,1.0367856644727742,0.05441000504458062,0.10874141370154411,"(0.15663143066406188, 0.15529142706151242)"
1.6500000000000001,0.12696282972436373,0.09999942852670578,1.0417693422306127,0.05224570847867544,0.09967355515677012,"(0.15663143066406188, 0.15529142706151242)"
1.7000000000000002,0.12822874363532258,0.10216482491249275,1.0463374796046283,0.05016564377156284,0.09136274748031081,"(0.15663143066406188, 0.15529142706151242)"
1.75,0.12943470938143764,0.10424947615973881,1.0505247587146878,0.048166894039152704,0.08374558220118788,"(0.15663143066406188, 0.15529142706151242)"
1.8,0.1305842044340568,0.1062558471596101,1.0543629591484331,0.04624657161399311,0.07676400867490774,"(0.15663143066406188, 0.15529142706151242)"
1.85,0.13168044528692147,0.10818640746713955,1.0578812026796167,0.04440183378419245,0.07036487062367314,"(0.15663143066406188, 0.15529142706151242)"
1.9000000000000001,0.13272641094842952,0.11004361656314454,1.0611061769399046,0.04262989463434143,0.06449948520575789,"(0.15663143066406188, 0.15529142706151242)"
1.9500000000000002,0.13372486425497102,0.11182991185413313,1.064062339948378,0.04092803377613762,0.059123260169465786,"(0.15663143066406188, 0.15529142706151242)"
0.0,0.1385850376744003,0.12058574060369921,1.033101786813219,0.2002856188133887,-0.6192110627031783,"(0.3105828541230249, 0.3)"
0.05,0.14354655749886452,0.12890624880669058,1.00477652857482,0.1937498755866419,-0.5665051647679816,"(0.3105828541230249, 0.3)"
0.1,0.14856585213592813,0.13680607933937194,0.9788541217516815,0.18719042827958957,-0.5184481364627691,"(0.3105828541230249, 0.3)"
