t,x,y,theta,v,w,goal
3.0500000000000003,1.2924114910897821,0.0,0.0,0.17299042409184828,0.0,"(1.5, 0.0)"
3.1,1.3007150314461908,0.0,0.0,0.1660708071281743,0.0,"(1.5, 0.0)"
3.1500000000000004,1.3086864301883432,0.0,0.0,0.15942797484304735,0.0,"(1.5, 0.0)"
3.2,1.3163389729808095,0.0,0.0,0.15305085584932546,0.0,"(1.5, 0.0)"
3.25,1.323685414061577,0.0,0.0,0.14692882161535242,0.0,"(1.5, 0.0)"
3.3000000000000003,1.330737997499114,0.0,0.0,0.14105166875073838,0.0,"(1.5, 0.0)"
3.35,1.3375084775991495,0.0,0.0,0.13540960200070878,0.0,"(1.5, 0.0)"
3.4000000000000004,1.3440081384951834,0.0,0.0,0.12999321792068042,0.0,"(1.5, 0.0)"
3.45,1.350247812955376,0.0,0.0,0.12479348920385328,0.0,"(1.5, 0.0)"
3.5,1.356237900437161,0.0,0.0,0.11980174963569912,0.0,"(1.5, 0.0)"
3.5500000000000003,1.3619883844196745,0.0,0.0,0.11500967965027123,0.0,"(1.5, 0.0)"
3.6,1.3675088490428875,0.0,0.0,0.1104092924642604,0.0,"(1.5, 0.0)"
3.6500000000000004,1.372808495081172,0.0,0.0,0.10599292076569,0.0,"(1.5, 0.0)"
3.7,1.3778961552779252,0.0,0.0,0.10175320393506233,0.0,"(1.5, 0.0)"
3.75,1.3827803090668083,0.0,0.0,0.09768307577765985,0.0,"(1.5, 0.0)"
3.8000000000000003,1.3874690967041359,0.0,0.0,0.09377575274655339,0.0,"(1.5, 0.0)"
3.85,1.3919703328359705,0.0,0.0,0.09002472263669131,0.0,"(1.5, 0.0)"
3.9000000000000004,1.3962915195225316,0.0,0.0,0.08642373373122361,0.0,"(1.5, 0.0)"
3.95,1.4004398587416302,0.0,0.0,0.08296678438197472,0.0,"(1.5, 0.0)"
4.0,1.404422264391965,0.0,0.0,0.07964811300669582,0.0,"(1.5, 0.0)"
4.05,1.4082453738162863,0.0,0.0,0.07646218848642797,0.0,"(1.5, 0.0)"
4.1000000000000005,1.411915558863635,0.0,0.0,0.07340370094697093,0.0,"(1.5, 0.0)"
4.15,1.4154389365090896,0.0,0.0,0.07046755290909204,0.0,"(1.5, 0.0)"
4.2,1.418821379048726,0.0,0.0,0.06764885079272834,0.0,"(1.5, 0.0)"
4.25,1.422068523886777,0.0,0.0,0.06494289676101915,0.0,"(1.5, 0.0)"
4.3,1.425185782931306,0.0,0.0,0.06234518089057844,0.0,"(1.5, 0.0)"
4.3500000000000005,1.4281783516140536,0.0,0.0,0.059851373654955256,0.0,"(1.5, 0.0)"
4.4,1.4310512175494914,0.0,0.0,0.05745731870875712,0.0,"(1.5, 0.0)"
4.45,1.4338091688475116,0.0,0.0,0.05515902596040689,0.0,"(1.5, 0.0)"
4.5,1.4364568020936113,0.0,0.0,0.05295266492199069,0.0,"(1.5, 0.0)"
4.55,1.4389985300098669,0.0,0.0,0.050834558325110996,0.0,"(1.5, 0.0)"
4.6000000000000005,1.4414385888094723,0.0,0.0,0.048801175992106496,0.0,"(1.5, 0.0)"
4.65,1.4437810452570934,0.0,0.0,0.04684912895242217,0.0,"(1.5, 0.0)"
4.7,1.4460298034468098,0.0,0.0,0.04497516379432529,0.0,"(1.5, 0.0)"
4.75,1.4481886113089373,0.0,0.0,0.04317615724255219,0.0,"(1.5, 0.0)"
4.800000000000001,1.4502610668565799,0.0,0.0,0.04144911095285018,0.0,"(1.5, 0.0)"
0.0,1.4522506241823168,0.0,0.09999999999999999,0.03979114651473611,2.0,"(1.5, 1.5)"
0.05,1.4601016429695561,0.0007877293955543718,0.2,0.15780876223861043,2.0,"(1.5, 1.5)"
0.1,1.4733110016616273,0.003465398965070906,0.30000000000000004,0.2695604358056356,2.0,"(1.5, 1.5)"
0.15000000000000002,1.4911854692184856,0.008994619722878319,0.4,0.37420255083563814,2.0,"(1.5, 1.5)"
0.2,1.5128762185109355,0.018165321433075723,0.5,0.4709948512352694,2.0,"(1.5, 1.5)"
0.25,1.5348157825581947,0.0301509598981808,0.6,0.5,2.0,"(1.5, 1.5)"
0.30000000000000004,1.5554491729309368,0.04426702173305668,0.7,0.5,2.0,"(1.5, 1.5)"
0.35000000000000003,1.5745702276130489,0.06037246391399896,0.7999999999999999,0.5,2.0,"(1.5, 1.5)"
0.4,1.591987895346728,0.07830636618648704,0.8999999999999999,0.5,2.0,"(1.5, 1.5)"
0.45,1.6075281445534946,0.09788953892717411,0.9919261621114269,0.5,1.8385232422285398,"(1.5, 1.5)"
0.5,1.6212051076076506,0.1188165712446159,1.073852481349218,0.5,1.6385263847558242,"(1.5, 1.5)"
0.55,1.6331236395051778,0.14079266273986651,1.146911750404432,0.5,1.461185381104276,"(1.5, 1.5)"
0.6000000000000001,1.64340624778877,0.16358011470111478,1.2121011635593495,0.5,1.3037882630983528,"(1.5, 1.5)"
0.65,1.652182566317458,0.1869890068808615,1.270300213837831,0.5,1.1639810055696294,"(1.5, 1.5)"
0.7000000000000001,1.6595824194445732,0.21086875088487306,1.322285807929243,0.5,1.0397118818282414,"(1.5, 1.5)"
0.75,1.6657314321589658,0.2351007471426773,1.3687451342510302,0.5,0.9291865264357418,"(1.5, 1.5)"
0.8,1.6707484125765337,0.2595921723255804,1.410286694373158,0.5,0.8308312024425585,"(1.5, 1.5)"
0.8500000000000001,1.6747439452998893,0.2842708213618748,1.4474498160531817,0.5,0.7432624336004712,"(1.5, 1.5)"
0.9,1.677819794687788,0.30908088283989144,1.4807128979812014,0.5,0.665261638560396,"(1.5, 1.5)"
0.9500000000000001,1.6800688356887912,0.33397951361702066,1.5105005853428919,0.5,0.5957537472338087,"(1.5, 1.5)"
1.0,1.6815753160170386,0.3589340826780284,1.537190036735002,0.5,0.5337890278421997,"(1.5, 1.5)"
1.05,1.682415315134284,0.3839199667224849,1.5611164134390532,0.5,0.47852753408102405,"(1.5, 1.5)"
1.1,1.6826573091889692,0.40891879547259835,1.58257769917109,0.5,0.42922571464073633,"(1.5, 1.5)"
1.1500000000000001,1.6823627816931135,0.43391706048347833,1.6018389404572768,0.5,0.38522482572373623,"(1.5, 1.5)"
1.2000000000000002,1.6815868409873158,0.4589050159024614,1.6191359834986385,0.5,0.3459408608272335,"(1.5, 1.5)"
1.25,1.6803788201662326,0.4838758125596734,1.634678771886881,0.5,0.31085576776484936,"(1.5, 1.5)"
1.3,1.6787828450762092,0.5088248178206457,1.648654260163454,0.5,0.27950976553145873,"(1.5, 1.5)"
1.35,1.6768383626615435,0.5337490828677651,1.661228990495522,0.5,0.25149460664135925,"(1.5, 1.5)"
1.4000000000000001,1.674580626327365,0.5586469266829498,1.6725513733191875,0.5,0.226447656473312,"(1.5, 1.5)"
1.4500000000000002,1.6720411378123787,0.5835176121998842,1.6827537074055745,0.5,0.2040466817277425,"(1.5, 1.5)"
1.5,1.6692480468201294,0.6083610951020261,1.6919539702375688,0.5,0.18400525663988587,"(1.5, 1.5)"
1.55,1.6662265106895322,0.6331778297665925,1.7002574056898896,0.5,0.16606870904641524,"(1.5, 1.5)"
1.6,1.6629990169348094,0.6579686200739471,1.7077579326633912,0.5,0.1500105394700324,"(1.5, 1.5)"
1.6500000000000001,1.6595856717177497,0.6827345053686256,1.7145393954426464,0.5,0.13562925558510466,"(1.5, 1.5)"
1.7000000000000002,1.6560044573452093,0.707476673899656,1.720676674049961,0.5,0.12274557214629167,"(1.5, 1.5)"
1.75,1.6522714617894454,0.7321963976881745,1.7262366706997556,0.5,0.11119993299589126,"(1.5, 1.5)"
